"asset_id","name","market_price","pe_ratio","eps","ebitda"
"AAPL","Apple Inc.","214.1","34.50","2.4","137400000000"
"AMZN","Amazon.com Inc","194.95","25.70","1.23","58000000000"
"AVGO","Broadcom Inc.","190.54","21.30","8.95","13000000000"
"BRK.B","Berkshire Hathaway Class B","528.73","8.50","3.12","65000000000"
"GOOG","Alphabet Inc. Class C","165.05","29.70","5.48","92000000000"
"GOOGL","Alphabet Inc. Class A","162.8","29.70","5.48","92000000000"
"JPM","Jpmorgan Chase & Co.","239.01","10.20","3.78","45000000000"
"META","Meta Platforms, Inc. Class A","586","23.50","2.5","40000000000"
"MSFT","Microsoft Corp","386.84","31.50","3.23","142905000000"
"NVDA","Nvidia Corp","118.53","36.40","3.26","19000000000"
