"risk_level","q1_answer","q2_answer","q3_answer","q4_answer","q5_answer","score"
"aggressive","0","0","0","0","0","0"
"aggressive","0","0","0","0","1","1"
"aggressive","0","0","0","1","0","1"
"moderate","0","0","0","1","1","2"
"aggressive","0","0","1","0","0","1"
"moderate","0","0","1","0","1","2"
"moderate","0","0","1","1","0","2"
"moderate","0","0","1","1","1","3"
"aggressive","0","1","0","0","0","1"
"moderate","0","1","0","0","1","2"
"moderate","0","1","0","1","0","2"
"moderate","0","1","0","1","1","3"
"moderate","0","1","1","0","0","2"
"moderate","0","1","1","0","1","3"
"moderate","0","1","1","1","0","3"
"conservative","0","1","1","1","1","4"
"aggressive","1","0","0","0","0","1"
"moderate","1","0","0","0","1","2"
"moderate","1","0","0","1","0","2"
"moderate","1","0","0","1","1","3"
"moderate","1","0","1","0","0","2"
"moderate","1","0","1","0","1","3"
"moderate","1","0","1","1","0","3"
"conservative","1","0","1","1","1","4"
"moderate","1","1","0","0","0","2"
"moderate","1","1","0","0","1","3"
"moderate","1","1","0","1","0","3"
"conservative","1","1","0","1","1","4"
"moderate","1","1","1","0","0","3"
"conservative","1","1","1","0","1","4"
"conservative","1","1","1","1","0","4"
"conservative","1","1","1","1","1","5"
